ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,29,5,24,29,0,0,3638,3588616,0,0,0
$200K-$500K,0,60,21,39,60,0,0,13822,20971099,0,0,0
$500K-$1M,0,73,21,52,73,0,0,20511,53685149,0,0,0
$1M-$2M,0,114,30,84,114,0,0,40780,166505335,0,0,0
$2M-$5M,2,255,72,185,257,780,6243077,164724,881570485,0.007782101167,0.004735193414,0.007081767262
$5M-$10M,4,364,108,260,368,4363,26452232,371974,2652589766,0.01086956522,0.01172931441,0.009972228778
$10M-$20M,6,447,131,322,453,13862,86605424,768509,6581890515,0.01324503311,0.01803752461,0.01315813805
$20M-$50M,34,765,275,524,799,108944,1155578773,2369441,26521778884,0.04255319149,0.04597877727,0.04357093761
$50M-$100M,64,568,240,392,632,428993,5021484030,3761604,45775447606,0.1012658228,0.1140452318,0.1096981961
$100M-$200M,81,467,235,313,548,867020,11759184428,5715146,77847880756,0.147810219,0.1517056607,0.151053366
$200M-$500M,94,445,244,295,539,2195112,30600650893,11828966,173707174183,0.1743970315,0.1855709113,0.1761622745
$500M-$1B,68,211,142,137,279,3444858,50564852724,12772073,202055507609,0.2437275986,0.2697180011,0.2502522862
> $1B,150,299,262,187,449,50482141,830311869918,103589697,1789800880139,0.3340757238,0.4873278179,0.4639129856
Totals,503,4097,1786,2814,4600,57546073,929532921499,141420885,2326069470142,0.1093478261,0.4069135404,0.3996152881
