ACL_13,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $200K,0,28,6,22,28,0,0,3013,3380021,0,0,0
$200K-$500K,0,47,14,33,47,0,0,11296,16596970,0,0,0
$500K-$1M,0,60,16,44,60,0,0,18148,44037581,0,0,0
$1M-$2M,0,107,33,74,107,0,0,37652,159557326,0,0,0
$2M-$5M,3,228,59,172,231,1500,9833003,141622,799366134,0.01298701299,0.01059157476,0.01230100023
$5M-$10M,6,324,101,229,330,5789,41135974,347816,2369089027,0.01818181818,0.01664385767,0.01736362523
$10M-$20M,8,406,122,292,414,18005,111441728,687333,5981240889,0.0193236715,0.02619545402,0.01863187423
$20M-$50M,45,701,250,496,746,145558,1627583463,2164224,24880561328,0.06032171582,0.06725643926,0.06541586589
$50M-$100M,67,517,223,361,584,393534,5174967356,3328078,42478406523,0.1147260274,0.1182466276,0.1218258353
$100M-$200M,95,437,214,318,532,1010114,13956561069,5402283,75773587025,0.1785714286,0.1869790975,0.1841876783
$200M-$500M,123,407,232,298,530,2666819,39471063781,11212221,169951421513,0.2320754717,0.2378493075,0.2322490947
$500M-$1B,70,207,146,131,277,3187115,50477416731,12392917,198617304080,0.2527075812,0.2571723025,0.2541441037
> $1B,206,255,260,201,461,68141661,1129445854852,108442927,1858156105651,0.4468546638,0.6283642731,0.6078315226
Totals,623,3724,1676,2671,4347,75570095,1240315857957,144189530,2379230654068,0.1433172303,0.5241025129,0.5213096325
