ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1671,385,630,1426,2056,3106689,30614140746,3582727,35059347220,0.8127431907,0.8671297032,0.8732090918
$50M-$100M,558,54,236,376,612,3261952,40164345599,3565638,43967175695,0.9117647059,0.9148298285,0.9135075193
$100M-$200M,508,35,226,317,543,5345839,72167608939,5629901,76996834479,0.9355432781,0.9495440506,0.9372802067
$200M-$500M,498,30,233,295,528,10849349,159533244695,11403327,168612961397,0.9431818182,0.9514196164,0.9461505413
$500M-$1B,276,6,146,136,282,12558663,198217440998,12871192,202188026716,0.9787234043,0.9757187213,0.9803619147
$1B-$2B,200,3,117,86,203,16555563,275496315837,16814882,280744314237,0.9852216749,0.9845780066,0.9813068399
$2B-$5B,162,7,96,73,169,29355580,501145821071,30743095,523364760989,0.9585798817,0.9548674263,0.9575459764
$5B-$10B,59,0,36,23,59,21867804,429536307618,21867804,429536307618,1,1,1
> $10B,20,0,9,11,20,36698411,562819136723,36698411,562819136723,1,1,1
Totals,3952,520,1729,2743,4472,139599850,2269694362226,143176977,2323288865074,0.8837209302,0.9750160461,0.9769316232
