ACL_9,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
< $50M,1655,364,618,1401,2019,3026238,30503968383,3486319,34808980958,0.8197127291,0.8680324434,0.8763246594
$50M-$100M,556,45,230,371,601,3206036,40448841175,3460327,43569228044,0.925124792,0.9265124365,0.9283809466
$100M-$200M,503,36,219,320,539,5158793,71887389572,5441296,76810276204,0.9332096475,0.9480816702,0.9359084894
$200M-$500M,499,31,236,294,530,10609999,159804925114,11196698,169488340701,0.941509434,0.9476007123,0.9428667745
$500M-$1B,283,4,147,140,287,12518789,202108863141,12757473,204859589349,0.9860627178,0.9812906522,0.9865726266
$1B-$2B,204,4,120,88,208,16759551,282703081550,17123804,288278280324,0.9807692308,0.9787282662,0.9806603579
$2B-$5B,159,11,96,74,170,28907461,499039289780,30923379,533227197749,0.9352941176,0.9348092587,0.9358849134
$5B-$10B,60,1,36,25,61,22244793,444727399998,22443602,449907796579,0.9836065574,0.9911418408,0.9884856483
> $10B,19,1,9,11,20,34392967,551142944532,37229404,581718195755,0.95,0.9238119149,0.9474397544
Totals,3938,497,1711,2724,4435,136824627,2282366703245,144062302,2382667885663,0.8879368658,0.9497601045,0.9579038342
