League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,1,8,1,8,9,756781,11899356558,977893,15381677269,0.1111111111,0.7738893724,0.7736059176
Association of Vermont Credit Unions,3,13,11,5,16,293438,4949473706,428711,6726787403,0.1875,0.684465759,0.7357856596
California and Nevada Credit Union League,33,234,120,147,267,2862320,61661805610,14227851,306800235779,0.1235955056,0.2011772544,0.2009835666
Carolinas Credit Union League,28,80,37,71,108,5512454,93599531217,6791840,109865117585,0.2592592593,0.8116289547,0.8519494929
Cooperative Credit Union Association,16,155,66,105,171,856897,14999481961,4862996,79612976744,0.09356725146,0.17620763,0.1884049884
Cornerstone League,56,607,304,359,663,5361007,81722914617,14928042,217763116149,0.08446455505,0.3591232527,0.3752835469
Credit Union Association of New Mexico,6,34,18,22,40,692723,13197590121,1097375,19215752349,0.15,0.6312545848,0.6868110018
CrossState Credit Union Association,34,403,44,393,437,1655916,24385034089,5850429,91369229994,0.07780320366,0.2830418077,0.2668845309
Dakota Credit Union Association,6,55,16,45,61,58834,891941248,539895,10970591018,0.09836065574,0.1089730411,0.08130293496
GoWest Credit Union Association,32,242,135,139,274,4562246,82640744365,13106216,228625965088,0.1167883212,0.3480978797,0.3614670116
Hawaii Credit Union League,7,40,0,47,47,260367,4586973167,874682,15381030374,0.1489361702,0.2976704677,0.2982227494
Illinois Credit Union League,11,195,157,49,206,1302999,22190451349,4008349,71803176809,0.05339805825,0.325071245,0.3090455372
Indiana Credit Union League,15,114,34,95,129,1245117,20479495985,2810005,45183309276,0.1162790698,0.4431013468,0.4532535645
Iowa Credit Union League,3,65,67,1,68,71871,1072234800,1644379,32877731497,0.04411764706,0.04370707726,0.03261279751
Kentucky's Credit Union,7,49,18,38,56,563069,9265554997,981747,14561531497,0.125,0.5735377852,0.6363036058
League of Southeastern Credit Unions,37,246,154,129,283,4429106,61475094238,12406724,188368603371,0.1307420495,0.3569923857,0.3263553115
Louisiana Credit Union League,14,133,26,121,147,616120,8229614873,1308033,16727440209,0.09523809524,0.4710278716,0.4919829197
Maine Credit Union League,1,46,12,35,47,18092,249546237,732948,12037648648,0.02127659574,0.02468387935,0.0207304802
Maryland & DC Credit Union Association,34,74,7,101,108,1362562,29579310495,2704048,54185813199,0.3148148148,0.5038971202,0.5458866214
Michigan Credit Union League,13,173,120,66,186,783355,14211778041,6002754,105118214191,0.06989247312,0.1304992675,0.1351980544
Minnesota Credit Union Network,12,73,60,25,85,966098,21153603619,2157485,41958434049,0.1411764706,0.4477889765,0.504156175
Mississippi Credit Union Association,6,53,1,58,59,435714,5193652379,714321,7970168238,0.1016949153,0.6099694675,0.6516364804
Montanas Credit Unions,2,40,9,33,42,122994,3132135816,431035,7626301237,0.04761904762,0.2853457376,0.4107018224
Nebraska Credit Union League and Affils,2,51,10,43,53,137915,1404379286,570029,6602385070,0.03773584906,0.2419438309,0.2127078732
New York Credit Union Association,44,240,12,272,284,3475481,72155646855,6780046,123072037211,0.1549295775,0.5126043393,0.586287905
Ohio Credit Union League,19,190,95,114,209,464056,6063063008,3265422,46876264745,0.09090909091,0.1421121068,0.1293418544
Tennessee Credit Union League,14,115,72,57,129,782660,15607303059,2576754,41767638196,0.1085271318,0.3037387349,0.3736697533
The Credit Union League of Connecticut Inc,13,60,25,48,73,400343,6041559048,940606,15041951358,0.1780821918,0.4256224179,0.4016472932
Utah Credit Union Association,4,52,24,32,56,1391081,21619587085,3818197,57651579430,0.07142857143,0.3643292895,0.3750042462
Virginia Credit Union League,23,66,21,68,89,15188041,201423554524,19443588,258507769187,0.2584269663,0.781133657,0.7791779534
West Virginia Credit Union League,3,73,3,73,76,33314,455812411,377692,4980528896,0.03947368421,0.08820414518,0.09151887691
Wisconsin Credit Union League,4,106,107,3,110,848764,13797628735,3875566,69305399092,0.03636363636,0.2190038823,0.1990844713
Totals,503,4085,1786,2802,4588,57511735,929335853499,141235658,2323936405158,0.1096338274,0.4072040717,0.3998972827
