League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,973250,15401528809,973250,15401528809,1,1,1
Association of Vermont Credit Unions,15,1,11,5,16,422941,6548776502,426314,6623471042,0.9375,0.9920879915,0.9887227498
California and Nevada Credit Union League,234,36,121,149,270,13782173,294733519085,14094049,301521203324,0.8666666667,0.9778717954,0.9774885343
Carolinas Credit Union League,102,7,37,72,109,6542479,102924994312,6745766,106937516320,0.9357798165,0.9698645046,0.9624778829
Cooperative Credit Union Association,159,15,66,108,174,4786620,77889793728,4829078,78695704647,0.9137931034,0.9912078455,0.9897591498
Cornerstone League,622,46,308,360,668,14687594,212473991612,14872259,214766433510,0.9311377246,0.9875832582,0.9893258837
Credit Union Association of New Mexico,38,2,18,22,40,1072623,17827868579,1081684,17930284441,0.95,0.9916232467,0.9942881072
CrossState Credit Union Association,334,107,45,396,441,5661890,87050132443,5862076,89297768965,0.7573696145,0.9658506645,0.9748298692
Dakota Credit Union Association,57,4,16,45,61,532176,10759512205,537025,10831675601,0.9344262295,0.9909706252,0.993337744
GoWest Credit Union Association,258,17,134,141,275,12817700,223117749595,12892061,224359344799,0.9381818182,0.9942320316,0.9944660419
Hawaii Credit Union League,47,0,0,47,47,869628,15239670466,869628,15239670466,1,1,1
Illinois Credit Union League,196,11,159,48,207,3977353,68808427066,3991674,68896850373,0.9468599034,0.9964122822,0.9987165842
Indiana Credit Union League,116,13,34,95,129,2769372,43280141890,2804410,43690956050,0.8992248062,0.9875061065,0.9905972724
Iowa Credit Union League,65,3,67,1,68,1616279,32514785238,1632195,32774706316,0.9558823529,0.9902487142,0.9920694613
Kentucky's Credit Union,54,1,18,37,55,974140,14210891375,974886,14216298741,0.9818181818,0.9992347823,0.9996196362
League of Southeastern Credit Unions,261,25,156,130,286,12221163,181874914473,12283919,182745937478,0.9125874126,0.994891207,0.9952336943
Louisiana Credit Union League,131,19,26,124,150,1327305,16380124526,1344672,16503084550,0.8733333333,0.9870845827,0.9925492702
Maine Credit Union League,47,0,12,35,47,731678,11687844792,731678,11687844792,1,1,1
Maryland & DC Credit Union Association,98,12,7,103,110,2578873,50710727620,2699173,52534996071,0.8909090909,0.9554307931,0.9652751768
Michigan Credit Union League,182,5,121,66,187,5947276,102249433540,5975525,102695781089,0.9732620321,0.9952725493,0.9956536915
Minnesota Credit Union Network,80,4,59,25,84,2043868,38563741752,2062590,38902755984,0.9523809524,0.9909230628,0.9912855986
Mississippi Credit Union Association,61,0,1,60,61,732643,7977729308,732643,7977729308,1,1,1
Montanas Credit Unions,43,0,9,34,43,429377,7548242286,429377,7548242286,1,1,1
Nebraska Credit Union League and Affils,52,1,10,43,53,564682,6479372017,567269,6514805705,0.9811320755,0.9954395534,0.9945610522
New York Credit Union Association,244,41,12,273,285,6479055,117911847651,6724982,121581582321,0.8561403509,0.9634308315,0.9698166893
Ohio Credit Union League,181,28,95,114,209,3191432,45421512133,3250202,46137764309,0.8660287081,0.9819180469,0.9844757936
Tennessee Credit Union League,124,7,74,57,131,2459631,39313969392,2566380,40624320111,0.9465648855,0.9584048348,0.9677446733
The Credit Union League of Connecticut Inc,65,10,25,50,75,940518,14757569307,955493,14935878709,0.8666666667,0.9843274624,0.9880616731
Utah Credit Union Association,55,1,24,32,56,3742601,55391722430,3743437,55394339416,0.9821428571,0.9997766758,0.9999527572
Virginia Credit Union League,83,6,21,68,89,19154964,251014963181,19163006,251054803674,0.9325842697,0.9995803372,0.9998413076
West Virginia Credit Union League,72,4,3,73,76,373939,4820669109,377450,4882567372,0.9473684211,0.9906981057,0.9873225993
Wisconsin Credit Union League,108,2,107,3,110,3850451,67691470501,3852002,67720365682,0.9818181818,0.9995973522,0.9995733162
Totals,4193,428,1797,2824,4621,138255674,2242577636923,140046153,2270626212261,0.9073793551,0.987215079,0.9876472071
