League,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alaska Credit Union League,9,0,1,8,9,1019962,16572184490,1019962,16572184490,1,1,1
Association of Vermont Credit Unions,14,0,9,5,14,433831,6895274063,433831,6895274063,1,1,1
California and Nevada Credit Union League,214,42,113,143,256,14172479,298327209154,14588955,305687477686,0.8359375,0.9714526503,0.9759222439
Carolinas Credit Union League,91,13,37,67,104,6501191,104966229446,6911521,110795215545,0.875,0.9406310131,0.9473895504
Cooperative Credit Union Association,148,17,63,102,165,4795731,78908973962,4916568,80928689532,0.896969697,0.9754224898,0.9750432686
Cornerstone League,593,49,290,352,642,14161911,210731705233,14972494,221627079930,0.9236760125,0.9458618584,0.9508391542
Credit Union Association of New Mexico,35,2,18,19,37,1132478,19743263584,1147415,19857101860,0.9459459459,0.9869820422,0.9942671253
CrossState Credit Union Association,301,113,39,375,414,5661356,92551532514,5894556,95592138217,0.7270531401,0.960438072,0.9681918852
Dakota Credit Union Association,58,4,16,46,62,557720,11517760861,562970,11592856782,0.935483871,0.9906744587,0.9935222247
GoWest Credit Union Association,244,23,134,133,267,12939280,227312029864,13399328,234449874727,0.9138576779,0.9656663379,0.9695549214
Hawaii Credit Union League,45,0,0,45,45,877572,16573239584,877572,16573239584,1,1,1
Illinois Credit Union League,189,9,153,45,198,4123976,73844458604,4140218,73902417764,0.9545454545,0.9960770182,0.9992157339
Indiana Credit Union League,112,12,31,93,124,2772995,46973919756,2805412,47400096230,0.9032258065,0.9884448345,0.9910089534
Iowa Credit Union League,62,4,65,1,66,1597553,33685649953,1613306,33926244683,0.9393939394,0.9902355784,0.9929083006
Kentucky's Credit Unions,53,1,17,37,54,979566,15624747550,980250,15630028956,0.9814814815,0.9993022188,0.9996620988
Luminate Louisiana Credit Unions,123,16,24,115,139,1273927,16597523967,1285691,16678589768,0.8848920863,0.9908500565,0.9951395291
Maine Credit Union League,48,0,12,36,48,762239,12860212336,762239,12860212336,1,1,1
Maryland & DC Credit Union Association,84,20,7,97,104,2549498,51630618475,2784333,55440966790,0.8076923077,0.915658436,0.9312719721
Michigan Credit Union League,159,13,111,61,172,5953570,109748820557,6021893,110755625222,0.9244186047,0.9886542321,0.9909096747
Minnesota Credit Union Network,79,3,59,23,82,2163963,42025612549,2179330,42322714089,0.9634146341,0.9929487503,0.9929800925
Mississippi Credit Union Association,54,1,0,55,55,754124,8612235159,758441,8624622920,0.9818181818,0.9943080609,0.9985636751
Montana?s Credit Unions,41,0,9,32,41,441755,7755120556,441755,7755120556,1,1,1
Nebraska Credit Union League and Affils,49,1,10,40,50,567146,6754231923,569565,6787870147,0.98,0.9957528991,0.9950443625
New York Credit Union Association,230,43,11,262,273,6844325,124931686318,7023381,128609404207,0.8424908425,0.9745057259,0.9714039738
Ohio Credit Union League,168,30,90,108,198,2802053,41763099016,3281263,48660114076,0.8484848485,0.8539556262,0.8582614285
Tennessee Credit Union League,117,11,70,58,128,2554619,43726336978,2672164,45270035417,0.9140625,0.9560113077,0.9659002158
The Credit Union League of Connecticut Inc,59,8,26,41,67,887423,14793216744,907372,14982263332,0.8805970149,0.9780145299,0.987381974
The League of Credit Unions & Affiliates,319,44,165,198,363,29815709,423288371431,33142969,462018143924,0.8787878788,0.8996088733,0.9161726157
Utah Credit Union Association,52,2,22,32,54,4077827,64091162856,4078574,64094040910,0.962962963,0.9998168478,0.9999550964
West Virginia Credit Union League,69,5,3,71,74,364905,4947348476,376340,5077704556,0.9324324324,0.9696152415,0.9743277541
Wisconsin Credit Union League,101,0,99,2,101,3891821,71172836038,3891821,71172836038,1,1,1
Totals,3920,486,1704,2702,4406,137432505,2298926611997,144441489,2392540184337,0.8896958693,0.9514752718,0.9608727273
