State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,79,12,51,40,91,2683848,35058511708,2715350,35525605184,0.8681318681,0.988398549,0.9868519206
Alaska,9,0,1,8,9,973250,15401528809,973250,15401528809,1,1,1
Arizona,35,0,16,19,35,1946324,30492185217,1946324,30492185217,1,1,1
Arkansas,48,4,0,52,52,358928,4533362754,364366,4576837644,0.9230769231,0.9850754461,0.9905011072
California,220,36,113,143,256,13382712,286992582464,13694588,293780266703,0.859375,0.977226332,0.9768953704
Colorado,59,8,35,32,67,2295071,41911830883,2315202,42201854771,0.8805970149,0.9913048624,0.9931276981
Connecticut,65,10,25,50,75,940518,14757569307,955493,14935878709,0.8666666667,0.9843274624,0.9880616731
Delaware,17,0,0,17,17,264587,3119388668,264587,3119388668,1,1,1
District Of Columbia,31,2,0,33,33,297233,10501748958,303587,10600438709,0.9393939394,0.97907025,0.9906900314
Florida,113,3,67,49,116,7306757,111924039293,7311406,112005937033,0.974137931,0.9993641442,0.9992688089
Georgia,69,10,38,41,79,2230558,34892363472,2257163,35214395261,0.8734177215,0.9882130799,0.9908551095
Hawaii,47,0,0,47,47,869628,15239670466,869628,15239670466,1,1,1
Idaho,23,3,16,10,26,1242286,21125991648,1246805,21167638661,0.8846153846,0.9963755359,0.9980325149
Illinois,195,11,159,47,206,3936516,68197109363,3950837,68285532670,0.9466019417,0.9963751985,0.9987050946
Indiana,116,13,34,95,129,2769372,43280141890,2804410,43690956050,0.8992248062,0.9875061065,0.9905972724
Iowa,66,3,67,2,69,1657116,33126102941,1673032,33386024019,0.9565217391,0.9904867331,0.9922146741
Kansas,59,5,45,19,64,776384,10115199926,785223,10207582846,0.921875,0.9887433251,0.9909495792
Kentucky,54,1,18,37,55,974140,14210891375,974886,14216298741,0.9818181818,0.9992347823,0.9996196362
Louisiana,131,19,26,124,150,1327305,16380124526,1344672,16503084550,0.8733333333,0.9870845827,0.9925492702
Maine,47,0,12,35,47,731678,11687844792,731678,11687844792,1,1,1
Maryland,56,9,7,58,65,1978224,34673802339,2091664,36386745836,0.8615384615,0.9457656679,0.9529239711
Massachusetts,120,12,50,82,132,3358488,53671096684,3396587,54422848341,0.9090909091,0.988783152,0.9861868373
Michigan,182,5,121,66,187,5947276,102249433540,5975525,102695781089,0.9732620321,0.9952725493,0.9956536915
Minnesota,80,4,59,25,84,2043868,38563741752,2062590,38902755984,0.9523809524,0.9909230628,0.9912855986
Mississippi,61,0,1,60,61,732643,7977729308,732643,7977729308,1,1,1
Missouri,91,8,88,11,99,1798080,22900346353,1810187,23041624298,0.9191919192,0.9933117407,0.993868577
Montana,43,0,9,34,43,429377,7548242286,429377,7548242286,1,1,1
Nebraska,52,1,10,43,53,564682,6479372017,567269,6514805705,0.9811320755,0.9954395534,0.9945610522
Nevada,14,0,8,6,14,399461,7740936621,399461,7740936621,1,1,1
New Hampshire,12,1,8,5,13,793004,12189113536,794580,12203474504,0.9230769231,0.9980165622,0.9988232066
New Jersey,91,47,7,131,138,855955,14314855239,959728,15402679994,0.6594202899,0.8918724889,0.9293743196
New Mexico,38,2,18,22,40,1072623,17827868579,1081684,17930284441,0.95,0.9916232467,0.9942881072
New York,243,41,12,272,284,6477143,117896083509,6723070,121565818179,0.8556338028,0.9634204314,0.9698127753
North Carolina,55,7,29,33,62,4840297,80334705894,5043584,84347227902,0.8870967742,0.9596939399,0.9524285254
North Dakota,27,2,16,13,29,213933,5353148075,214767,5362508510,0.9310344828,0.9961167218,0.9982544671
Ohio,181,28,95,114,209,3191432,45421512133,3250202,46137764309,0.8660287081,0.9819180469,0.9844757936
Oklahoma,51,3,10,44,54,1432927,20756809778,1439486,20809245193,0.9444444444,0.9954435125,0.9974801866
Oregon,49,3,19,33,52,2193191,35258628091,2221933,35836970857,0.9423076923,0.9870644164,0.9838618401
Pennsylvania,244,60,38,266,304,4807847,72751041346,4904260,73910853113,0.8026315789,0.9803409689,0.984307964
Rhode Island,13,2,8,7,15,481798,10179705316,484581,10219503610,0.8666666667,0.9942568941,0.9961056529
South Carolina,47,0,8,39,47,1702182,22590288418,1702182,22590288418,1,1,1
South Dakota,30,2,0,32,32,318243,5406364130,322258,5469167091,0.9375,0.9875410385,0.9885169058
Tennessee,124,7,74,57,131,2459631,39313969392,2566380,40624320111,0.9465648855,0.9584048348,0.9677446733
Texas,373,26,165,234,399,10321275,154168272801,10472997,156131143529,0.9348370927,0.9855130294,0.9874280641
Utah,55,1,24,32,56,3742601,55391722430,3743437,55394339416,0.9821428571,0.9997766758,0.9999527572
Vermont,15,1,11,5,16,422941,6548776502,426314,6623471042,0.9375,0.9920879915,0.9887227498
Virginia,90,7,21,76,97,19345649,255268134417,19354197,255320610113,0.9278350515,0.9995583387,0.9997944714
Washington,75,1,48,28,76,4798850,89235788138,4803097,89300724602,0.9868421053,0.9991157788,0.9992728339
West Virginia,73,4,3,74,77,375413,4833163720,378924,4895061983,0.9480519481,0.9907342897,0.9873549583
Wisconsin,108,2,107,3,110,3850451,67691470501,3852002,67720365682,0.9818181818,0.9995973522,0.9995733162
Wyoming,17,2,0,19,19,341978,5093325618,358700,5359970691,0.8947368421,0.953381656,0.9502525129
Totals,4193,428,1797,2824,4621,138255674,2242577636923,140046153,2270626212261,0.9073793551,0.987215079,0.9876472071
