State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,8,83,51,40,91,1151015,12056610043,2729921,36371271683,0.08791208791,0.4216294171,0.3314871734
Alaska,1,8,1,8,9,756781,11899356558,977893,15381677269,0.1111111111,0.7738893724,0.7736059176
Arizona,6,29,16,19,35,228904,2417297241,1956903,31490391261,0.1714285714,0.1169725837,0.07676301069
Arkansas,3,48,0,51,51,36122,611432991,366073,4656293895,0.05882352941,0.09867430813,0.13131323
California,31,223,112,142,254,2848722,61420111078,13827048,298887284252,0.1220472441,0.2060253208,0.2054958987
Colorado,7,60,35,32,67,1087876,21644946592,2327045,42616663470,0.1044776119,0.4674924636,0.5078986676
Connecticut,13,60,25,48,73,400343,6041559048,940606,15041951358,0.1780821918,0.4256224179,0.4016472932
Delaware,3,14,0,17,17,129508,1414857004,264335,3201711772,0.1764705882,0.4899389033,0.4419064253
District Of Columbia,12,20,0,32,32,245147,9798054307,293993,10350342794,0.375,0.833853187,0.9466405608
Florida,25,88,65,48,113,3210094,48751401493,7411055,116251777951,0.2212389381,0.4331493964,0.4193604808
Georgia,4,75,38,41,79,67997,667082702,2265748,35745553737,0.05063291139,0.03001083969,0.01866197701
Hawaii,7,40,0,47,47,260367,4586973167,874682,15381030374,0.1489361702,0.2976704677,0.2982227494
Idaho,5,21,16,10,26,131435,1947354894,1260376,21381108021,0.1923076923,0.1042823729,0.09107829641
Illinois,10,195,157,48,205,1262245,21576044797,3967595,71188770257,0.0487804878,0.3181385701,0.3030821395
Indiana,15,114,34,95,129,1245117,20479495985,2810005,45183309276,0.1162790698,0.4431013468,0.4532535645
Iowa,4,65,67,2,69,112625,1686641352,1685133,33492138049,0.05797101449,0.06683448725,0.05035932163
Kansas,0,64,45,19,64,0,0,783059,10495643586,0,0,0
Kentucky,7,49,18,38,56,563069,9265554997,981747,14561531497,0.125,0.5735377852,0.6363036058
Louisiana,14,133,26,121,147,616120,8229614873,1308033,16727440209,0.09523809524,0.4710278716,0.4919829197
Maine,1,46,12,35,47,18092,249546237,732948,12037648648,0.02127659574,0.02468387935,0.0207304802
Maryland,16,47,7,56,63,932899,16819655344,2095294,37739970485,0.253968254,0.4452353703,0.4456721913
Massachusetts,13,116,50,79,129,451832,8768637134,3413022,55081459131,0.1007751938,0.1323847312,0.1591939878
Michigan,13,173,120,66,186,783355,14211778041,6002754,105118214191,0.06989247312,0.1304992675,0.1351980544
Minnesota,12,73,60,25,85,966098,21153603619,2157485,41958434049,0.1411764706,0.4477889765,0.504156175
Mississippi,6,53,1,58,59,435714,5193652379,714321,7970168238,0.1016949153,0.6099694675,0.6516364804
Missouri,5,90,84,11,95,469210,5086487476,1803972,23981009712,0.05263157895,0.260098272,0.2121048086
Montana,2,40,9,33,42,122994,3132135816,431035,7626301237,0.04761904762,0.2853457376,0.4107018224
Nebraska,2,51,10,43,53,137915,1404379286,570029,6602385070,0.03773584906,0.2419438309,0.2127078732
Nevada,2,11,8,5,13,13598,241694532,400803,7912951527,0.1538461538,0.03392689176,0.03054416941
New Hampshire,1,12,8,5,13,358149,5522051808,811214,12381805267,0.07692307692,0.441497558,0.4459811545
New Jersey,10,128,6,132,138,340529,5334939678,961315,15445998881,0.07246376812,0.3542324836,0.3453929862
New Mexico,6,34,18,22,40,692723,13197590121,1097375,19215752349,0.15,0.6312545848,0.6868110018
New York,44,239,12,271,283,3475481,72155646855,6778156,123056806193,0.1554770318,0.5127472723,0.5863604711
North Carolina,16,45,29,32,61,4371377,77289822756,5083551,86647863668,0.262295082,0.8599061955,0.8919991733
North Dakota,1,28,16,13,29,8167,180672302,215594,5422404611,0.03448275862,0.03788138816,0.03331959065
Ohio,19,190,95,114,209,464056,6063063008,3265422,46876264745,0.09090909091,0.1421121068,0.1293418544
Oklahoma,5,49,10,44,54,232597,3843710130,1439684,21140462623,0.09259259259,0.1615611481,0.1818176924
Oregon,5,46,20,31,51,968585,15085569996,2234507,37034726462,0.09803921569,0.4334669795,0.4073358018
Pennsylvania,24,276,38,262,300,1315387,19050094411,4891004,75938462131,0.08,0.2689400786,0.2508622624
Rhode Island,0,15,8,7,15,0,0,486880,10263015680,0,0,0
South Carolina,12,35,8,39,47,1141077,16309708461,1708289,23217253917,0.2553191489,0.6679648467,0.7024822367
South Dakota,5,27,0,32,32,50667,711268946,324301,5548186407,0.15625,0.1562344859,0.1281984587
Tennessee,14,115,72,57,129,782660,15607303059,2576754,41767638196,0.1085271318,0.3037387349,0.3736697533
Texas,43,356,165,234,399,4623078,72181284020,10535254,157489706333,0.1077694236,0.4388197949,0.4583238213
Utah,4,52,24,32,56,1391081,21619587085,3818197,57651579430,0.07142857143,0.3643292895,0.3750042462
Vermont,3,13,11,5,16,293438,4949473706,428711,6726787403,0.1875,0.684465759,0.7357856596
Virginia,28,70,21,77,98,15289965,203679091383,19644390,263275366025,0.2857142857,0.7783374796,0.7736352035
Washington,8,68,48,28,76,2004105,39457947925,4946046,90468254865,0.1052631579,0.4051933605,0.4361524159
West Virginia,3,74,3,74,77,33314,455812411,379196,4993416872,0.03896103896,0.08785430226,0.0912826673
Wisconsin,4,106,107,3,110,848764,13797628735,3875566,69305399092,0.03636363636,0.2190038823,0.1990844713
Wyoming,1,18,0,19,19,141341,2087627717,381339,5634821009,0.05263157895,0.3706439677,0.370486962
Totals,503,4085,1786,2802,4588,57511735,929335853499,141235658,2323936405158,0.1096338274,0.4072040717,0.3998972827
