State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,77,14,51,40,91,2696798,35872773244,2729921,36371271683,0.8461538462,0.9878666819,0.9862941708
Alaska,9,0,1,8,9,977893,15381677269,977893,15381677269,1,1,1
Arizona,35,0,16,19,35,1956903,31490391261,1956903,31490391261,1,1,1
Arkansas,49,3,0,52,52,362641,4622689695,366373,4657656027,0.9423076923,0.9898136598,0.9924927191
California,221,35,113,143,256,13524648,292159174361,13834747,299004206297,0.86328125,0.9775854954,0.9771072387
Colorado,57,10,35,32,67,2303548,42284795782,2327045,42616663470,0.8507462687,0.9899026448,0.9922127248
Connecticut,65,10,25,50,75,934619,15014500331,949512,15193853216,0.8666666667,0.9843151008,0.9881956945
Delaware,17,0,0,17,17,264335,3201711772,264335,3201711772,1,1,1
District Of Columbia,30,2,0,32,32,287688,10252647249,293993,10350342794,0.9375,0.9785539111,0.9905611295
Florida,115,1,67,49,116,7417897,116321711896,7419226,116338826640,0.9913793103,0.9998208708,0.9998528888
Georgia,70,9,38,41,79,2241434,35432368520,2265748,35745553737,0.8860759494,0.989268886,0.9912384847
Hawaii,47,0,0,47,47,874682,15381030374,874682,15381030374,1,1,1
Idaho,23,3,16,10,26,1255854,21339713446,1260376,21381108021,0.8846153846,0.9964121818,0.9980639649
Illinois,197,10,159,48,207,3966885,71351164912,3981238,71438424206,0.9516908213,0.99639484,0.9987785384
Indiana,116,13,34,95,129,2775572,44757819834,2810005,45183309276,0.8992248062,0.9877462851,0.9905830394
Iowa,66,3,67,2,69,1669489,33236175602,1685133,33492138049,0.9565217391,0.9907164598,0.9923575364
Kansas,59,5,45,19,64,774373,10402710382,783059,10495643586,0.921875,0.9889076047,0.991145545
Kentucky,55,1,18,38,56,981010,14556031673,981747,14561531497,0.9821428571,0.9992492974,0.9996223046
Louisiana,132,17,26,123,149,1331957,17055585376,1345573,17158355337,0.8859060403,0.9898808909,0.9940105005
Maine,47,0,12,35,47,732948,12037648648,732948,12037648648,1,1,1
Maryland,55,9,7,57,64,1983007,35982469321,2096773,37749787729,0.859375,0.9457423383,0.9531833551
Massachusetts,120,12,50,82,132,3377882,54367890738,3415812,55120051902,0.9090909091,0.9888957589,0.9863541282
Michigan,182,5,121,66,187,5988377,104815277521,6016804,105275400897,0.9732620321,0.9952753987,0.9956293363
Minnesota,81,4,60,25,85,2138994,41614608391,2157485,41958434049,0.9529411765,0.9914293726,0.9918055651
Mississippi,61,0,1,60,61,737539,8131425564,737539,8131425564,1,1,1
Missouri,91,8,88,11,99,1806908,24059036752,1818987,24201223649,0.9191919192,0.9933594907,0.9941248055
Montana,43,0,9,34,43,431379,7627811058,431379,7627811058,1,1,1
Nebraska,52,1,10,43,53,567478,6566704216,570029,6602385070,0.9811320755,0.9955247891,0.994595763
Nevada,13,0,8,5,13,400803,7912951527,400803,7912951527,1,1,1
New Hampshire,12,1,8,5,13,809639,12367833807,811214,12381805267,0.9230769231,0.9980584655,0.9988716137
New Jersey,92,47,7,132,139,857068,14331238020,961427,15446706246,0.6618705036,0.8914540574,0.9277860142
New Mexico,39,1,18,22,40,1088467,19115114799,1097375,19215752349,0.975,0.9918824467,0.9947627578
New York,239,44,12,271,283,6528840,119334212344,6778156,123056806193,0.8445229682,0.9632177247,0.9697489805
North Carolina,55,7,29,33,62,4879698,82589228518,5083678,86648426204,0.8870967742,0.9598755075,0.9531532439
North Dakota,27,2,16,13,29,214765,5413002013,215594,5422404611,0.9310344828,0.9961548095,0.9982659726
Ohio,182,27,95,114,209,3208865,46188205359,3265422,46876264745,0.8708133971,0.9826800334,0.9853217958
Oklahoma,51,3,10,44,54,1433177,21088341616,1439684,21140462623,0.9444444444,0.9954802582,0.997534538
Oregon,50,2,20,32,52,2209624,36492015180,2236072,37052839269,0.9615384615,0.9881721161,0.9848642074
Pennsylvania,244,60,38,266,304,4819335,75022137789,4914977,76192208692,0.8026315789,0.9805407024,0.9846431686
Rhode Island,13,2,8,7,15,484182,10223500577,486880,10263015680,0.8666666667,0.9944585935,0.9961497571
South Carolina,47,0,8,39,47,1708289,23217253917,1708289,23217253917,1,1,1
South Dakota,30,2,0,32,32,320264,5485279876,324301,5548186407,0.9375,0.9875516881,0.9886617849
Tennessee,123,8,74,57,131,2480757,40568274597,2587557,41913434032,0.9389312977,0.9587255469,0.9679062461
Texas,370,29,165,234,399,10371664,155359625114,10535254,157489706333,0.9273182957,0.9844721352,0.9864747908
Utah,55,1,24,32,56,3817349,57649070528,3818197,57651579430,0.9821428571,0.9997779056,0.9999564816
Vermont,15,1,11,5,16,425315,6649131439,428711,6726787403,0.9375,0.9920785797,0.9884557131
Virginia,89,9,21,77,98,19632622,263178123834,19644390,263275366025,0.9081632653,0.9994009486,0.9996306446
Washington,75,1,48,28,76,4941792,90403102327,4946046,90468254865,0.9868421053,0.999139919,0.9992798298
West Virginia,73,4,3,74,77,375699,4931146365,379196,4993416872,0.9480519481,0.9907778563,0.9875294796
Wisconsin,108,2,107,3,110,3874026,69277500281,3875566,69305399092,0.9818181818,0.9996026387,0.9995974511
Wyoming,17,2,0,19,19,364447,5372158822,381339,5634821009,0.8947368421,0.9557034555,0.9533858863
Totals,4191,430,1799,2822,4621,139609425,2297485993837,141405393,2325981711869,0.9069465484,0.9872991548,0.9877489501
