State,Affiliated CUs,Non Affiliated CUs,State Chartered,Fed Chartered,Total CUs,Affiliated Memberships,Affiliated Assets,Total Memberships,Total Assets,% CUs Affiliated,% Memberships Affiliated,% Assets Affiliated
Alabama,10,79,49,40,89,1128501,15275147160,2602360,38866332936,0.1123595506,0.4336452297,0.3930174525
Alaska,1,8,1,8,9,795930,13041952177,1025104,16646542246,0.1111111111,0.7764382931,0.7834631351
Arizona,9,24,15,18,33,758987,12590781836,2007368,33130815883,0.2727272727,0.3781005775,0.3800323506
Arkansas,4,44,0,48,48,206974,3479336321,377499,5087143728,0.08333333333,0.5482769491,0.6839469272
California,43,197,103,137,240,4625733,103950069543,13364856,278449769634,0.1791666667,0.3461116977,0.3733171325
Colorado,13,50,33,30,63,1472564,27624135082,2502065,44618505598,0.2063492063,0.5885394664,0.6191183392
Connecticut,15,50,25,40,65,474409,7061078072,905495,14680724772,0.2307692308,0.5239222746,0.4809761222
Delaware,3,12,0,15,15,121406,1204861848,259466,2902375616,0.2,0.4679071632,0.4151295378
District Of Columbia,12,18,0,30,30,234247,10013745696,295603,10659539776,0.4,0.7924378305,0.9394163263
Florida,31,76,59,48,107,4216223,64754010549,7722886,118289988506,0.2897196262,0.5459387851,0.5474175065
Georgia,4,68,34,38,72,382543,6765032899,2258949,36333756683,0.05555555556,0.1693455673,0.1861913966
Hawaii,5,40,0,45,45,219813,4386474478,879211,16700059411,0.1111111111,0.2500116582,0.262662208
Idaho,4,22,16,10,26,115829,1725899428,1393023,24355946478,0.1538461538,0.08314938088,0.07086152162
Illinois,14,178,151,41,192,2349406,47017884943,4155507,74073446989,0.07291666667,0.5653716863,0.6347468203
Indiana,16,108,31,93,124,1217609,22435187967,2807051,47602088701,0.1290322581,0.4337680363,0.4713067972
Iowa,3,64,65,2,67,60033,893539548,1668035,34654031003,0.0447761194,0.035990252,0.0257845775
Kansas,2,58,44,16,60,6226,139853322,672078,8861383938,0.03333333333,0.009263805689,0.01578233411
Kentucky,6,47,17,36,53,522128,9713149634,990394,15758274784,0.1132075472,0.5271922084,0.6163840755
Louisiana,14,124,24,114,138,574060,7624690357,1290613,16755530751,0.1014492754,0.4447963875,0.4550551379
