NIMBLE_CUNA_ID,Name,State,Old Manager,New Manager
10010568,Arizona Central CU,AZ,Greg Harden,Brian Lee
10022530,Omaha Public Power District EFCU,NE,Julie Nelson,Nicole Peatrowsky
10032298,MountainCrest CU,WA,Susan Webster,Lindsey Welch
10012433,University CU,CA,David Tuyo,Estela Nagahashi
10017256,Tippecanoe FCU,IN,Brooke Grube,Brooke Brigham
10018622,Postal CU,LA,Tynita Howard,Drusilla Williams
10010692,Landings CU,AZ,Brian Lee,Cecilia Ashe
10032340,TwinStar CU,WA,Jeff Kennedy,David Tuyo
10015378,First Northern Credit Union,IL,Alex Malone,Edward Berg
10021913,Assemblies of God CU,MO,Bruce Webb,Peter Shiner
10010664,Pyramid FCU,AZ,Dustin Powell,Raymond Lancaster
