NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10024524,Umico FCU,NY,7531073,833,4
10029679,Purity Dairies EFCU,TN,2888925,450,2
10016248,School District 218 EFCU,IL,13861089,913,2
10027456,Tri Valley Service FCU,PA,18987404,3721,5
10026992,City Co FCU,PA,21720613,4038,6
10025582,SMART FCU,OH,34268651,2884,5
10026211,SCFE CU Inc,OH,1368772,165,2
10033269,Enterprise Credit Union,WI,34435111,2815,8
10017726,Town & Country CU,IA,32858567,3002,12
10033235,Shipbuilders Credit Union,WI,119407293,10565,27
10016996,Indianapolis Post Office CU,IN,46335492,3047,4
10015702,Kane County Teachers CU,IL,464239284,30381,99
10018507,Jefferson Financial FCU,LA,684644120,42515,149
10030717,Gulf Coast Educators FCU,TX,1240643830,60452,179
10026892,Providence FCU,OR,152668041,14887,26
10012967,First Bristol FCU,CT,106667462,5687,26
10024945,Winston-Salem FCU,NC,60500141,8481,21
10023212,Pinnacle Federal Credit Union,NJ,94551272,11416,21
10024620,Tri State Area FCU,NY,41275177,3726,9
10018776,Changing Seasons FCU,ME,26195689,1990,7
10027373,Fisher Scientific Emp FCU,PA,1823564,550,1
10023031,M & C Menlo Park FCU,NJ,1213172,162,1
10027071,Bedco Hospital FCU,PA,1551734,466,1
10014902,Aldersgate FCU,IL,10577346,811,2
10013010,C S P EFCU,CT,10332531,1233,3
10030696,Pamcel Community FCU,TX,12815077,989,5
10010622,Arizona Copper FCU,AZ,14402667,2202,9
10021667,McComb FCU,MS,5362735,1336,6
10028303,APS FCU,PA,8271593,990,2
10023956,IRS Buffalo FCU,NY,5005892,680,2
10027662,Local 520 UA FCU,PA,7642030,1506,2
10038257,Vocality Community CU,CA,126436300,8305,29
10032934,Appletree Credit Union,WI,131860049,5598,14
10039826,Empower CU,WI,86744162,4541,18
10014575,Mutual Savings CU,GA,72844692,5366,13
10010700,Tucson Old Pueblo CU,AZ,211161126,17005,49
10021157,Anoka Hennepin CU,MN,282247942,18728,59
10017630,Public Employees Credit Union,IA,36652895,1809,3
10030600,Midwestern State University CU,TX,4996306,887,3
10029511,Kingston TVA ECU,TN,2378075,307,2
10029329,CEMC ECU,TN,2471561,486,2
10012036,SafeAmerica Credit Union,CA,506930167,36375,63
10026323,Taleris CU,OH,65160671,5343,13
10016895,Bluffton Motor Works Franklin Electric ECU,IN,823124,255,2
,Totals (44 Credit Unions):,,4814753417,327898,918
