NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10026629,OU Federal Credit Union,OK,78608015,12861,18
10023034,Seaport FCU,NJ,95889960,5464,21
10011069,Cooperative Center FCU,CA,126460499,7696,18
10025421,Wright-Dunbar Area CU Inc,OH,429776,335,0
10011193,El Monte Community CU,CA,33533556,2650,6
10025602,GenFed Financial Credit Union Inc,OH,323340856,24839,87
10011241,Fontana FCU,CA,16716580,1396,3
10018154,Bluegrass Community FCU,KY,11883983,1894,5
10023263,Union County EFCU,NJ,7541389,1137,3
10023355,Ft Bayard FCU,NM,5462561,1000,3
10018151,Eastern Kentucky FCU,KY,7070841,799,4
10026567,True Sky CU,OK,908835977,61073,195
10029336,Chattanooga Area Schools FCU,TN,180699511,12037,14
10023046,Fort Billings FCU,NJ,64803724,3583,20
10011751,America's Christian CU,CA,679918344,72053,107
10012721,Metrum Community CU,CO,103995764,5469,19
10026767,Advantis CU,OR,1981307101,88178,308
10028174,Freedom CU,PA,1260710726,65065,92
10023138,Picatinny FCU,NJ,458230896,19607,63
10027127,inspire FCU,PA,339313068,15658,36
10034330,Campco FCU,WY,208173397,19250,42
10019466,GFA FCU,MA,693348010,33005,101
10035669,Fedex Emp Credit Assoc FCU,TN,645624155,100945,120
10012128,Marin County FCU,CA,91274879,4222,7
10033528,Greater Metro FCU,NY,86783400,4024,11
10025740,Kennametal Orwell EFCU,OH,724961,208,1
10026488,Mahoning Valley FCU,OH,621927,225,1
10013545,GSA Federal Credit Union,DC,41183520,5499,7
10026992,City Co FCU,PA,24021099,4128,4
10023385,Four Corners FCU,NM,15902422,4987,11
10010281,Mutual Savings CU,AL,230067911,20246,75
10031016,Texell CU,TX,693884992,51579,215
10030904,Scott and White ECU,TX,68178296,4602,11
10031044,TDECU,TX,4822377270,387149,878
10012774,One Thirteen CU,CO,8750974,1052,2
10022141,St Joseph Teachers CU,MO,8667264,1157,4
10017667,SECU CU,IA,1745972,726,1
10030429,IBEW Local 681 CU,TX,814513,343,1
10011251,Fountain Valley CU,CA,2308816,183,1
10026178,St Paul AME Zion Church Credit Union Inc,OH,239153,160,0
10131315,New Jersey State PBA Federal Credit Union,NJ,1500410,1,1
10039262,New Rising Star FCU,MI,113356,139,0
10036580,CRCH EFCU,VA,6176430,1282,3
10014349,Berrien Teachers FCU,GA,1331646,276,2
10039619,VEFCU,VI,1774420,316,3
10023077,New Brunswick Postal FCU,NJ,18267813,2220,7
10033603,IBEW LU 66 FCU,TX,10283265,1349,3
10031921,Richmond Heritage FCU,VA,10482061,1718,5
10028421,Banco De Santander FCU,PR,3225023,935,3
10028708,Universal Coop FCU,PR,26960117,3420,15
10037112,Ohio Valley FCU,OH,26964515,2220,7
10033916,St Vincents Medical Center FCU,CT,22678791,1751,4
,Totals (52 Credit Unions):,,14459203905,1062111,2568
