NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10014440,The Southern CU,GA,551818342,31094,77
10028064,Pittsburgh FCU,PA,11156561,1457,4
10032117,Community Healthcare FCU,WA,19975313,1346,7
10019615,Massachusetts Family CU,MA,28239452,1469,4
10013088,Cencap FCU,CT,38525810,8437,17
10012717,Holyoke Community FCU,CO,44780234,2939,23
10026795,IBEW/SJ Cascade FCU,OR,21555124,2721,4
10029099,VITAL FCU,SC,57573178,6005,16
10004035,Civic FCU,NC,119292517,7678,0
10011665,Mid Cities CU,CA,17001176,2762,7
10024227,Oswego Teachers EFCU,NY,55416026,2495,8
10011802,Olive View EFCU,CA,66854438,5960,10
10013600,US Postal Service FCU,MD,279584800,28861,51
10024761,Greater Kinston CU,NC,14611598,3963,5
10000700,Latino Community CU,NC,1053278025,132939,320
10022572,Heartland Area FCU,NE,27320282,2129,7
,Totals (16 Credit Unions):,,2406982876,242255,560
