NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10013151,MembersFirst CT FCU,CT,102636670,6118,17
10016888,Fire Police City County FCU,IN,187464192,11252,56
10029677,Trust FCU,TN,125718571,8447,29
10018846,Lincoln Maine FCU,ME,125112909,6472,19
10023050,First Financial FCU,NJ,191044567,15985,50
10029892,Advancial FCU,TX,2445102913,127343,297
10033279,Altra FCU,WI,2842927577,152095,494
10024588,Affinity FCU,NJ,4109430357,227891,507
10016876,Liberty Federal Credit Union,IN,4110794877,256571,789
10024837,Truliant FCU,NC,5325998322,354712,933
10026626,Oklahoma Community Credit Union,OK,211044263,13167,41
10023553,GHS FCU,NY,229076981,20016,43
10028342,Cross Valley FCU,PA,240321552,17293,55
10013519,Interior Federal Credit Union,DC,297092972,20933,39
10024323,Ukrainian FCU,NY,392096461,27986,90
10028317,WEST-AIRCOMM FCU,PA,351243213,21591,46
10024358,St Lawrence FCU,NY,242023128,12834,58
10014802,Hawaii Community FCU,HI,730938398,46716,136
10013421,Dover FCU,DE,702254733,44592,141
10028981,CPM FCU,SC,630551920,63750,199
10013524,DC FCU,DC,80313812,9819,23
10013267,Riverbank FCU,CT,87227131,4236,19
10023591,Buffalo Conrail FCU,NY,53991437,2542,8
10010631,MariSol FCU,AZ,50139211,6390,19
10014120,Pompano Beach City ECU,FL,30130680,2132,8
10013034,Finex CU,CT,151694322,18870,39
10026944,Oregon Community CU,OR,3368845037,263628,601
10010944,Frontwave CU,CA,1528672239,124350,253
10015523,Great Lakes CU,IL,1599435676,94473,257
10016666,Connections CU,ID,245517825,19810,82
10032250,Puget Sound Cooperative CU,WA,257378859,17963,31
10010568,Arizona Central CU,AZ,743732494,97444,177
10011645,Community First CU,CA,814615314,61109,158
10016622,Freedom Northwest CU,ID,573905558,13157,50
10017679,Community Choice CU,IA,800459707,51151,178
10029623,Nashville Post Office CU,TN,70282656,4454,14
10012388,UNIFY Financial CU,TX,3547684657,257849,481
10021513,Affinity Plus FCU,MN,4205342012,272147,623
10013989,Grow Financial FCU,FL,3666734518,272142,579
10039189,Local Government FCU,NC,3967663461,407174,286
10014353,Midsouth Community FCU,GA,455028127,42490,109
10021632,Navigator CU,MS,395720328,46725,143
10021705,Mutual FCU,MS,310828144,24084,75
10012139,Santa Clara County FCU,CA,966349383,47151,132
10019116,National Institutes of Health FCU,MD,791656392,48241,123
10019350,First Citizens FCU,MA,693848510,48637,141
10031590,NorthCountry FCU,VT,996284613,72325,215
10019914,UMassFive College FCU,MA,700492877,50219,135
10035669,Fedex Emp Credit Assoc FCU,TN,658682908,101427,125
10036335,Southwest Airlines FCU,TX,794641685,59133,118
10021643,Magnolia FCU,MS,156648491,19727,46
10019869,Pioneer Valley CU,MA,155673181,11538,34
10032585,Peoples FCU,WV,119866302,10944,32
10014109,Pinellas FCU,FL,166609887,11625,25
10036532,Tonawanda Valley FCU,NY,155896066,13025,36
10004035,Civic FCU,NC,119292517,7678,0
10012342,Technicolor FCU,CA,90673856,4415,23
10020636,Michigan Columbus FCU,MI,78995373,7580,16
10032541,167th TFR FCU,WV,68532414,8477,16
10036312,American Partners FCU,NC,98452293,9088,32
10016696,Snake River FCU,ID,11724102,1285,3
10013765,Financial Educators FCU,FL,22901859,1408,6
10019853,Somerville School EFCU,MA,23978392,1778,2
10013809,Compass Financial FCU,FL,24307186,3160,13
10013890,Suncoast CU,FL,18409340593,1225750,2484
10032726,Landmark Credit Union,WI,6619879414,397317,1053
10032334,Sound Credit Union,WA,2974380862,176033,431
10020273,Dow Credit Union,MI,2332876824,82019,184
10012433,University CU,CA,1153236431,54424,128
10030431,Amplify CU,TX,1333183194,49407,206
10019290,Boston Firefighters CU,MA,420343196,11669,49
10021372,Expedition CU,MN,222345685,17029,30
10018276,Transcend CU,KY,526942524,47818,70
10019295,First Priority CU,MA,129957910,7081,29
10031453,TransWest CU,UT,190899971,15635,34
10020608,Meijer CU,MI,102321123,14668,35
,Totals (76 Credit Unions):,,91909433795,6207614,14258
