NIMBLE_CUNA_ID,Name,Old Mailing Address,New Mailing Address
10011303,California Adventist FCU,"PO Box 1109, Glendale, CA 91209-1109","1441 East Chevy Chase Drive, Glendale, CA 91206"
10023271,MidState Federal Credit Union,"217 Roosevelt Ave, Carteret, NJ 07008","217 Roosevelt Ave, Carteret, NJ 7008"
10022897,Fairleigh Dickinson University FCU,"12 Main St #4, Madison, NJ 07940","12 Main St #4, Madison, NJ 7940"
10023216,Saker Shop Rite FCU,"2200 State Route 66, Neptune City, NJ 07753","2200 State Route 66, Neptune City, NJ 7753"
10019603,Lowell Municipal EFCU,"375 Merrimack St City Hall Rm 11, Lowell, MA 01852","375 Merrimack St City Hall Rm 11, Lowell, MA 1852"
10013355,FD Community FCU,"48 Woodruff Avenue, Watertown, CT 06795","48 Woodruff Avenue, Watertown, CT 6795"
10024680,Skyla Federal Credit Union,"718 Central Ave, Charlotte, NC 28204-2024","3700 South Boulevard; Suite 400, Charlotte, NC 28209"
10023215,First Harvest CU,"1615 Hurffville Rd, Deptford, NJ 08096","1615 Hurffville Rd, Deptford, NJ 8096"
10019633,Massachusetts Institute Tech FCU,"70 Westview St, Lexington, MA 02421","70 Westview St, Lexington, MA 2421"
10023191,Rutgers FCU,"98 College Ave, New Brunswick, NJ 08901","98 College Ave, New Brunswick, NJ 8901"
10018774,Capital Area FCU,"2010 North Belfast Avenue, Augusta, ME 04330","2010 North Belfast Avenue, Augusta, ME 4330"
10023212,Pinnacle Federal Credit Union,"2909 Washington Road, Sayreville, NJ 08859","2909 Washington Road, Sayreville, NJ 8859"
10013073,Members CU,"612 Bedford Street, Stamford, CT 06901","612 Bedford Street, Stamford, CT 6901"
10024652,Blue Flame CU,"PO Box 12400, Charlotte, NC 28220-2400","2000 Continental Boulevard, Charlotte, NC 28273"
10019616,Lynn Teachers CU,"33 North Common Street, Lynn, MA 01902","33 North Common Street, Lynn, MA 1902"
10022679,Members First CU of NH,"PO Box 896, Manchester, NH 03105","PO Box 896, Manchester, NH 3105"
10031885,Pentagon FCU,"7940 Jones Branch Dr, Tysons, VA 22102-3381","PO Box 1432, Alexandria, VA 22313"
10013413,Delaware State Police FCU,"PO Box 717, Georgetown, DE 19947-0717","700 N Bedford St, Georgetown, DE 19947-2151"
10030472,Kerr County FCU,"3700 Memorial Blvd, Kerrville, TX 78028-5710","2200 Main Street, Junction, TX 76849"
10035624,New England Teamsters FCU,"1 Wall St Ste 402, Burlington, MA 01803-4776","548 Main Street, Boston, MA 2129"
10023043,Middlesex County NJ EFCU,"825 Georges Road, 3rd Floor, North Brunswick Township, NJ 08902","825 Georges Road, 3rd Floor, North Brunswick Township, NJ 8902"
10001206,1st Bergen FCU,"392 Main Street, Hackensack, NJ 07601","392 Main Street, Hackensack, NJ 7601"
10022721,First Point FCU,"2430 Hamilton Ave.; Suite 2, Hamilton, NJ 08619","2430 Hamilton Ave.; Suite 2, Hamilton, NJ 8619"
10005100,MAUN FCU,"3250 RTE. 27 Second Floor, Kendall Park, NJ 08824","3250 RTE. 27 Second Floor, Kendall Park, NJ 8824"
10131315,New Jersey State PBA Federal Credit Union,"158 Main Street, Woodbridge Township, NJ 07095","158 Main Street, Woodbridge Township, NJ 7095"
10019351,City of Boston CU,"455 West Broadway, Boston, MA 02127","455 West Broadway, Boston, MA 2127"
10031593,Green Mountain CU,"1250 Shelburne Road, South Burlington, VT 05403","1250 Shelburne Road, South Burlington, VT 5403"
10038459,SoundView Financial CU,"14 Research Dr, Bethel, CT 06801","14 Research Dr, Bethel, CT 6801"
