NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees,SURVIVOR_ID,STATUS_CHG_DATE
10010275,Montgomery VA FCU,AL,6012882,729,1,10010052,2026-06-01
10010850,Beverly Hills City EFCU,CA,14904068,1750,4,10011148,2026-06-01
10032082,Strait View CU,WA,105663003,7462,13,10032346,2026-06-01
10039818,Georgia Guard CU,GA,3402866,717,3,10014374,2026-06-01
10031765,CommonWealth One FCU | Merged,VA,509319859,28734,88,10031654,2026-07-01
10012053,Inland FCU,CA,14795534,1239,4,10010859,2026-06-01
10016096,Redbrand CU,IL,76283572,7276,22,10017644,2026-05-01
10024595,Westar Federal Credit Union,NY,33158209,1751,6,10023683,2026-05-01
10013554,HUD FCU,DC,44597787,4937,8,10018979,2026-05-01
10028708,Universal Coop FCU,PR,25932754,3335,14,10028442,2024-09-01
,Totals (10 Credit Unions):,,834070534,57930,163,,
