NIMBLE_CUNA_ID,Old Name,State,New Name
10020227,MemberFocus Community CU,MI,LOC Credit Union
10020108,Ignite CU,MI,BlueOx CU
10011410,First Imperial CU,CA,Corazo CU
10018783,Five County CU,ME,Ancorum CU
10029583,Orion FCU,TN,Orion Financial
10014763,Lkahi FCU,HI,L?kahi FCU
10026249,DayMet CU Inc,OH,Treadwell CU
10015180,Chicagos Bravest Credit Union,IL,Chicago?s Bravest Credit Union
10020931,BlueOx CU,MI,Ignite CU
10032340,TwinStar CU,WA,Peak CU
10014818,Koolau FCU,HI,Ko?olau FCU
10033904,Kauai FCU,HI,Kaua?i FCU
10002068,National Farmers and General Workers Co-Op CU Ltd,,National Farmers? and General Workers Co-Op CU Ltd
10002930,Cannings Employees CU Co-Op Society Ltd,,Canning?s Employees? CU Co-Op Society Ltd
10052589,Cooperativa de Ahorro y Crédito SPT COOP,PR,Cooperativa de Ahorro y Cr�dito SPT COOP
