NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10010219,Solutions First CU,AL,45680590,4941,9
10037134,Indiana Lakes FCU,IN,28362143,1912,5
10019456,MetroWest Community FCU,MA,146490320,7000,12
10021271,Heartland CU,MN,176398212,10468,33
10010409,Arkansas AM and N College FCU,AR,1999807,473,2
10013362,Waterbury Postal EFCU,CT,10735134,889,2
10016135,Rockford Municipal ECU,IL,23724823,2102,5
10016228,MWRD ECU,IL,37940939,2120,7
10034225,BCBST ECU,TN,10041314,1558,3
,Totals (9 Credit Unions):,,481373282,31463,78
