NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10013034,Finex CU,CT,148880700,19117,44
10026827,Gateway CU,OR,31318770,2171,6
10015243,Community FCU,IL,134804,154,0
10018364,Caddo Parish Teachers FCU,LA,17892863,3325,4
10012152,Santa Maria Associated EFCU,CA,5355249,1100,2
10015439,CTA South Federal Credit Union,IL,1315100,559,2
10025272,Carey Poverello FCU,OH,26329102,1709,5
10026649,Saint Francis EFCU,OK,45167809,6084,11
10023383,Mt Taylor FCU,NM,2168212,237,1
10013792,ECCO CU,FL,19154920,953,4
10036648,Mercy FCU,GA,11924814,2240,5
10014013,Miami FCU,FL,46406589,2358,12
10010548,VA Hospital FCU,AR,8758782,1683,4
10084144,People Trust Community,AR,4392007,641,2
,Totals (14 Credit Unions):,,369199721,42331,102
