NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10011307,Mokelumne FCU,CA,58955430,5915,13
10024664,Carolina FCU,NC,84043563,7242,16
10023670,Concord FCU,NY,8158747,493,3
10032117,Community Healthcare FCU,WA,19975313,1346,7
10027850,Tri State Rail FCU,PA,20897865,2325,7
10018569,Sevenfold FCU,LA,51208372,3630,14
10012486,County Schools FCU,CA,96508500,4765,13
10013073,Members CU,CT,47050208,3960,13
10014469,Genuine Parts CU,GA,21198463,1513,2
10020257,Southeast Michigan State EFCU,MI,51126246,3416,13
10013190,The New Haven Police and Municipal FCU,CT,5791550,870,5
10030756,Port Terminal FCU,TX,7570590,638,2
10030649,Neiman Marcus Group EFCU,TX,10166823,2561,4
10037508,Crouse FCU,NY,20245635,2097,5
,Totals (14 Credit Unions):,,502897305,40771,117
