NIMBLE_CUNA_ID,Name,State,Assets,Members,Employees
10011530,Valley Agricultural FCU,CA,4873162,569,3
10025421,Wright-Dunbar Area CU Inc,OH,367128,305,4
10029052,Upstate FCU,SC,137686825,17175,67
10029503,Kellogg Memphis EFCU,TN,3648445,526,2
10024640,Arcade CU,NC,7771648,787,3
10010611,Banner FCU,AZ,64531081,6824,14
10029658,Pathway CU,TN,6869660,965,3
10029627,First South Financial CU,TN,809063213,71826,133
10029336,Chattanooga Area Schools FCU,TN,189348442,12412,13
10023046,Fort Billings FCU,NJ,63740554,3494,21
10023077,New Brunswick Postal FCU,NJ,18676932,3173,6
10024059,Mamta FCU,NY,8295866,891,2
10029741,New South CU,TN,84148867,6745,23
10032064,Spokane City CU,WA,64937660,4301,11
10034811,L'Oreal USA FCU,NJ,20812975,1740,6
10034993,Union Building Trades FCU,NJ,84313309,24791,17
10039266,Beckstrand and Associates ECU,UT,176500,16,0
10010922,Central State CU,CA,230384610,14738,48
10037848,Olivet Baptist CU,TN,668498,918,0
10034225,BCBST ECU,TN,10473121,1838,3
10000772,None Suffer Lack FCU,MD,27524017,1947,4
10001759,First Unity FCU,MS,12125456,3983,7
10020931,BlueOx CU,MI,374089978,30559,132
10020227,MemberFocus Community CU,MI,133139050,8184,19
,Totals (24 Credit Unions):,,2357666997,218707,541
