NIMBLE_CUNA_ID,NAME,STATE_ABR,Old Street Address,New Street Address
10026524,Energy One FCU,OK,"6100 S Yale Ave Ste 100, Tulsa, OK 74136-1923","6555 South Lewis Avenue, Tulsa, OK 74136"
10013595,PAHO/WHO Federal Credit Union,VA,"2112 F St NW Ste 201, Washington, DC 20037-2761","2300 Wilson Blvd; Suite 420, Arlington, VA 22201"
10011860,Pasadena FCU,CA,"100 West Walnut Street, 8th Floor, Pasadena, CA 91124","670 North Rosemead Boulevard, Pasadena, CA 91107"
10029892,Advancial FCU,TX,"10000 North Central Expressway, Suite 1400, Dallas, TX 75231-2319","10000 North Central Expressway Suite 1400, Dallas, TX 75231-2319"
10011001,Chevron FCU,CA,"2300 Clayton Rd, Suite 700, Concord, CA 94520","2300 Clayton Rd Suite 700, Concord, CA 94520"
10014263,USF FCU,FL,"13101 Telecom Drive, Suite 100, Temple Terrace, FL 33617","13101 Telecom Drive Suite 100, Temple Terrace, FL 33617"
10029083,SRP FCU,SC,"1070 Edgefield Rd, North Augusta, SC 29860-9277","1070 Edgefield Rd, North Augusta, SC 29860"
10037055,Ardent CU,PA,"1500 Spring Garden St, Philadelphia, PA 19130-4067","1500 Spring Garden Street, Philadelphia, PA 19130"
10031373,Hi Land CU,UT,"965 Woodoak Ln, Salt Lake City, UT 84117-7267","5366 South Executive Park Drive, Salt Lake City, UT 84117"
10022721,First Point FCU,NJ,"2733 Nottingham Way Ste 5, Hamilton, NJ 08619-1814","2430 Hamilton Ave.; Suite 2, Hamilton, NJ 08619"
10018462,GP Louisiana FCU,LA,"820 W Mount Pleasant Rd, Zachary, LA 70791-6727","1700 East Mount Pleasant Road, Zachary, LA 70791"
10030676,Old Ocean FCU,TX,"CR 359 AT FM 524, Old Ocean, TX 77463","8282 Farm to Market 524 Road, Sweeny, TX 77480"
10034105,Highway FCU,PA,"1843 Highway 315, Pittston, PA 18640-6101","405 Laurel Street, Pittston, PA 18640"
