NIMBLE_CUNA_ID,Name,Old Street Address,New Street Address
10024680,Skyla Federal Credit Union,"718 Central Ave, Charlotte, NC 28204-2024","3700 South Boulevard; Suite 400, Charlotte, NC 28209"
10018800,Maine Highlands FCU,"73 Main Street, Dexter, ME 04930","73 Main Street, Dexter, ME 4930"
10022853,Deepwater Industries FCU,"565 N Broadway, Deepwater, NJ 08023","565 N Broadway, Deepwater, NJ 8023"
10028805,VAPR FCU,"2400 Carr 177, Guaynabo, PR 00969","2400 Carr 177, Guaynabo, PR 969"
10022795,ABCO Federal Credit Union,"690 Beverly Rancocas Rd, Willingboro, NJ 08046","690 Beverly Rancocas Rd, Willingboro, NJ 8046"
10018919,Town and Country FCU,"32 Little Dolphin Dr, Scarborough, ME 04074","32 Little Dolphin Dr, Scarborough, ME 4074"
10023271,MidState Federal Credit Union,"217 Roosevelt Ave, Carteret, NJ 07008","217 Roosevelt Ave, Carteret, NJ 7008"
10019603,Lowell Municipal EFCU,"375 Merrimack St City Hall Rm 11, Lowell, MA 01852","375 Merrimack St City Hall Rm 11, Lowell, MA 1852"
10013355,FD Community FCU,"48 Woodruff Avenue, Watertown, CT 06795","48 Woodruff Avenue, Watertown, CT 6795"
10023215,First Harvest CU,"1615 Hurffville Rd, Deptford, NJ 08096","1615 Hurffville Rd, Deptford, NJ 8096"
10019633,Massachusetts Institute Tech FCU,"70 Westview St, Lexington, MA 02421","70 Westview St, Lexington, MA 2421"
10023191,Rutgers FCU,"98 College Ave, New Brunswick, NJ 08901","98 College Ave, New Brunswick, NJ 8901"
10013073,Members CU,"612 Bedford Street, Stamford, CT 06901","612 Bedford Street, Stamford, CT 6901"
10022679,Members First CU of NH,"7 Salmon Street, Manchester, NH 03104","7 Salmon Street, Manchester, NH 3104"
10013092,Nutmeg State Financial CU,"500 Enterprise Drive; Suite 4A, Rocky Hill, CT 06067","500 Enterprise Drive; Suite 4A, Rocky Hill, CT 6067"
10039523,P.S.E. and G. Nuclear EFCU,"Alloway Creek Neck Rd Admin Bldg, Hancocks Bridge, NJ 08038","Alloway Creek Neck Rd Admin Bldg, Hancocks Bridge, NJ 8038"
10039619,VEFCU,"3079 Kronprindsens Gade, Charlotte Amalie, VI 00802","3079 Kronprindsens Gade, Charlotte Amalie, VI 802"
10019560,Jeanne D'Arc CU,"1 Tremont Place Lowell, Lowell, MA 01854","1 Tremont Place Lowell, Lowell, MA 1854"
10035624,New England Teamsters FCU,"1 Wall St Ste 402, Burlington, MA 01803-4776","548 Main Street, Boston, MA 2129"
10023043,Middlesex County NJ EFCU,"825 Georges Road, 3rd Floor, North Brunswick Township, NJ 08902","825 Georges Road, 3rd Floor, North Brunswick Township, NJ 8902"
10001206,1st Bergen FCU,"392 Main Street, Hackensack, NJ 07601","392 Main Street, Hackensack, NJ 7601"
10022721,First Point FCU,"2430 Hamilton Ave.; Suite 2, Hamilton, NJ 08619","2430 Hamilton Ave.; Suite 2, Hamilton, NJ 8619"
10005100,MAUN FCU,"3250 RTE. 27 Second Floor, Kendall Park, NJ 08824","3250 RTE. 27 Second Floor, Kendall Park, NJ 8824"
10131315,New Jersey State PBA Federal Credit Union,"158 Main Street, Woodbridge Township, NJ 07095","158 Main Street, Woodbridge Township, NJ 7095"
10019351,City of Boston CU,"455 West Broadway, Boston, MA 02127","455 West Broadway, Boston, MA 2127"
10031593,Green Mountain CU,"1250 Shelburne Road, South Burlington, VT 05403","1250 Shelburne Road, South Burlington, VT 5403"
10038459,SoundView Financial CU,"8 Duracell Dr, Danbury, CT 06810","8 Duracell Dr, Danbury, CT 6810"
10031578,Central Vermont Medcl Ctr Inc CU,"130 Fisher Rd, Montpelier, VT 05602","130 Fisher Rd, Montpelier, VT 5602"
